Address,Protocol,Bytecode,Reentrancy,Integer,Access_Control,Delegatecall,Unchecked_Call,Timestamp,TOD,DoS,Selfdestruct,Locked_Ether,Ether_Leak,Vulnerable
polygon_0x2a856931603930B827B1A4352FB4D66fA029F123,Wormhole,0x6080604052600436101561001257600080fd5b6000803560e01c80630aad8b631461059957806351b7d97b1461055a578063630dc7cb1461051557806383a7eb30146104ce5780638efd644914610419578063ae3073bb146103b15763ff74877a1461006a57600080fd5b610073366107d0565b6001600160a01b038086168a5260208a90526040808b2054905163bddddedd60e01b8152929a99911697959194939192909190606086806100bd8e85878b8f8f8c600489016108f7565b03818d8d5af19a8b156103a6578a948b978c9d610360575b50853410610348578534116102a3575b8b9c60018060a09e9c9d9e1b037f0000000000000000000000000b23efa164ab3ed08e9a39ac7ad930ff4f5a5e811698604051926322a8981960e11b60208501526bffffffffffffffffffffffff199060601b166024840152603883015261ffff60f01b7f000000000000000000000000000000000000000000000000000000000000000560f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d565b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660448a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073345ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35b8261028c7faa364c5b6118f7297a47ce8a073345ea9d8c78bfd2f79ac24aa8c14c277f6088939460209361085d565b92915061022e565b6040513d85823e3d90fd5b8980fd5b6001600160a01b038a169c34878103908111610334578d8f81809381925af13d1561032f573d67ffffffffffffffff811161031b57604051908f906102f2601f8201601f19166020018461085d565b825260203d92013e5b15610307579c506100e5565b631322dee160e11b8d5260048e905260248dfd5b634e487b7160e01b8f52604160045260248ffd5b6102fb565b634e487b7160e01b8e52601160045260248efd5b633cfaf0e160e21b8c5234600452602486905260448cfd5b95509b5095506060843d60601161039e575b8161037f6060938361085d565b8101031261029f57835195604060208601519501519694969b386100d5565b3d9150610372565b6040513d8c823e3d90fd5b5034610416578060031936011261041657506104126040516103d460408261085d565b601b81527f4578656375746f722d51756f74652d526f757465722d302e302e3100000000006020820152604051918291602083526020830190610895565b0390f35b80fd5b50346104165761046c602061042d366107d0565b6001600160a01b039485168b528a89526040808c2054905163a578ae1360e01b81529a8b999190961697899788979693959392909190600489016108f7565b03915afa9081156104c3578291610489575b602082604051908152f35b90506020813d6020116104bb575b816104a46020938361085d565b810103126104b75760209150513861047e565b5080fd5b3d9150610497565b6040513d84823e3d90fd5b5034610416576020366003190112610416576004356001600160a01b038116908190036104b757815260208181526040918290205491516001600160a01b03909216825290f35b50346104165780600319360112610416576040517f0000000000000000000000000b23efa164ab3ed08e9a39ac7ad930ff4f5a5e816001600160a01b03168152602090f35b5034610416578060031936011261041657602060405161ffff7f0000000000000000000000000000000000000000000000000000000000000005168152f35b50346104165760203660031901126104165760043567ffffffffffffffff81116104b7576105cb90369060040161079d565b600682013560601c91601a810135916062820190605a83013560c01c603a8401357f000000000000000000000000000000000000000000000000000000000000000561ffff16600486013560f01c8181036107885750508560a01c610774578060a01c610762576001600160a01b03163303610753574281111561074157509085916062116104b7576040519061066360a08361085d565b60628252602082019136821161073d57848360829260626020986080973786848201525190209260405193845260a282013560f81c878501523560408401520135606082015282805260015afa156104c35782516001600160a01b0316801561072e57820361071f578183526020838152604080852080546001600160a01b0319166001600160a01b039094169384179055519182527feedb3b08f9d6b31868ba849585a6520456b391ba627b04021952c145f61f1cdd91a280f35b638baa579f60e01b8352600483fd5b638baa579f60e01b8452600484fd5b8380fd5b631651519d60e31b8752600452602486fd5b636edaef2f60e11b8752600487fd5b63033b960d60e41b8852600452602487fd5b63033b960d60e41b88526004869052602488fd5b6309dcb24160e41b8a52600452602452604488fd5b9181601f840112156107cb5782359167ffffffffffffffff83116107cb57602083818601950101116107cb57565b600080fd5b60c06003198201126107cb5760043561ffff811681036107cb5791602435916044356001600160a01b03811681036107cb57916064356001600160a01b03811681036107cb579160843567ffffffffffffffff81116107cb57816108369160040161079d565b9290929160a4359067ffffffffffffffff82116107cb576108599160040161079d565b9091565b90601f8019910116810190811067ffffffffffffffff82111761087f57604052565b634e487b7160e01b600052604160045260246000fd5b919082519283825260005b8481106108c1575050826000602080949584010152601f8019910116010190565b806020809284010151828286010152016108a0565b908060209392818452848401376000828201840152601f01601f1916010190565b9593919261092e9361ffff61093c999793168852602088015260018060a01b0316604087015260a0606087015260a08601916108d6565b9260808185039101526108d6565b9056fea2646970667358221220d520fa82b49db2479cadf776f7c3131074ae398374fd4d9f2146cb757affb20464736f6c634300081c0033,,Mythril,,,,Mythril,,,,,MAIAN,Yes
polygon_0x5a58505a96D1dbf8dF91cB21B54419FC36e93fdE,Wormhole,0x60806040523661001357610011610017565b005b6100115b61002761002261005e565b6100a3565b565b606061004e838360405180606001604052806027815260200161027d602791396100c7565b9392505050565b3b151590565b90565b600061009e7f360894a13ba1a3210667c828492db98dca3e2076cc3735a920a3ca505d382bbc5473ffffffffffffffffffffffffffffffffffffffff1690565b905090565b3660008037600080366000845af43d6000803e8080156100c2573d6000f35b3d6000fd5b6060833b6101425760405162461bcd60e51b815260206004820152602660248201527f416464726573733a2064656c65676174652063616c6c20746f206e6f6e2d636f60448201527f6e7472616374000000000000000000000000000000000000000000000000000060648201526084015b60405180910390fd5b6000808573ffffffffffffffffffffffffffffffffffffffff168560405161016a91906101fd565b600060405180830381855af49150503d80600081146101a5576040519150601f19603f3d011682016040523d82523d6000602084013e6101aa565b606091505b50915091506101ba8282866101c4565b9695505050505050565b606083156101d357508161004e565b8251156101e35782518084602001fd5b8160405162461bcd60e51b81526004016101399190610219565b6000825161020f81846020870161024c565b9190910192915050565b602081526000825180602084015261023881604085016020870161024c565b601f01601f19169190910160400192915050565b60005b8381101561026757818101518382015260200161024f565b83811115610276576000848401525b5050505056fe416464726573733a206c6f772d6c6576656c2064656c65676174652063616c6c206661696c6564a2646970667358221220455751f1e8aa2f8211d98b31802d3b1c6564a842e6622eac64918e75e01f57ef64736f6c63430008040033,,,,,,,,,,,MAIAN,Yes
polygon_0x7A4B5a56256163F07b2C80A7cA55aBE66c4ec4d7,Wormhole,,,,,,,,,,,,,No
polygon_0x90BBd86a6Fe93D3bc3ed6335935447E75fAb7fCf,Wormhole,,,,,,,,,,,,,No
sei_0x1D6FeA87671F7c5E184F4c59c3BdcEc5CFC3eC1c,Wormhole,0x6080604052600436101561001257600080fd5b6000803560e01c80630aad8b631461059957806351b7d97b1461055a578063630dc7cb1461051557806383a7eb30146104ce5780638efd644914610419578063ae3073bb146103b15763ff74877a1461006a57600080fd5b610073366107d0565b6001600160a01b038086168a5260208a90526040808b2054905163bddddedd60e01b8152929a99911697959194939192909190606086806100bd8e85878b8f8f8c600489016108f7565b03818d8d5af19a8b156103a6578a948b978c9d610360575b50853410610348578534116102a3575b8b9c60018060a09e9c9d9e1b037f00000000000000000000000025f1c923fb7a5aefa5f0a2b419fc70f2368e66e51698604051926322a8981960e11b60208501526bffffffffffffffffffffffff199060601b166024840152603883015261ffff60f01b7f000000000000000000000000000000000000000000000000000000000000002860f01b16605883015261ffff60f01b8660f01b16605a83015267ffffffffffffffff60c01b605c8301526064820152606481526101a860848261085d565b873b1561029f5761ffff9661021f946101fb61020d936040519e8f9d8e9c8d9b63c513d43760e01b8d521660048c015260248b015260018060a01b031660448a015260c060648a015260c4890190610895565b878103600319016084890152916108d6565b8481036003190160a4860152916108d6565b03925af180156102945761025d575b5060207faa364c5b6118f7297a47ce8a073345ea9d8c78bfd2f79ac24aa8c14c277f608891604051908152a180f35b8261028c7faa364c5b6118f7297a47ce8a073345ea9d8c78bfd2f79ac24aa8c14c277f6088939460209361085d565b92915061022e565b6040513d85823e3d90fd5b8980fd5b6001600160a01b038a169c34878103908111610334578d8f81809381925af13d1561032f573d67ffffffffffffffff811161031b57604051908f906102f2601f8201601f19166020018461085d565b825260203d92013e5b15610307579c506100e5565b631322dee160e11b8d5260048e905260248dfd5b634e487b7160e01b8f52604160045260248ffd5b6102fb565b634e487b7160e01b8e52601160045260248efd5b633cfaf0e160e21b8c5234600452602486905260448cfd5b95509b5095506060843d60601161039e575b8161037f6060938361085d565b8101031261029f57835195604060208601519501519694969b386100d5565b3d9150610372565b6040513d8c823e3d90fd5b5034610416578060031936011261041657506104126040516103d460408261085d565b601b81527f4578656375746f722d51756f74652d526f757465722d302e302e3100000000006020820152604051918291602083526020830190610895565b0390f35b80fd5b50346104165761046c602061042d366107d0565b6001600160a01b039485168b528a89526040808c2054905163a578ae1360e01b81529a8b999190961697899788979693959392909190600489016108f7565b03915afa9081156104c3578291610489575b602082604051908152f35b90506020813d6020116104bb575b816104a46020938361085d565b810103126104b75760209150513861047e565b5080fd5b3d9150610497565b6040513d84823e3d90fd5b5034610416576020366003190112610416576004356001600160a01b038116908190036104b757815260208181526040918290205491516001600160a01b03909216825290f35b50346104165780600319360112610416576040517f00000000000000000000000025f1c923fb7a5aefa5f0a2b419fc70f2368e66e56001600160a01b03168152602090f35b5034610416578060031936011261041657602060405161ffff7f0000000000000000000000000000000000000000000000000000000000000028168152f35b50346104165760203660031901126104165760043567ffffffffffffffff81116104b7576105cb90369060040161079d565b600682013560601c91601a810135916062820190605a83013560c01c603a8401357f000000000000000000000000000000000000000000000000000000000000002861ffff16600486013560f01c8181036107885750508560a01c610774578060a01c610762576001600160a01b03163303610753574281111561074157509085916062116104b7576040519061066360a08361085d565b60628252602082019136821161073d57848360829260626020986080973786848201525190209260405193845260a282013560f81c878501523560408401520135606082015282805260015afa156104c35782516001600160a01b0316801561072e57820361071f578183526020838152604080852080546001600160a01b0319166001600160a01b039094169384179055519182527feedb3b08f9d6b31868ba849585a6520456b391ba627b04021952c145f61f1cdd91a280f35b638baa579f60e01b8352600483fd5b638baa579f60e01b8452600484fd5b8380fd5b631651519d60e31b8752600452602486fd5b636edaef2f60e11b8752600487fd5b63033b960d60e41b8852600452602487fd5b63033b960d60e41b88526004869052602488fd5b6309dcb24160e41b8a52600452602452604488fd5b9181601f840112156107cb5782359167ffffffffffffffff83116107cb57602083818601950101116107cb57565b600080fd5b60c06003198201126107cb5760043561ffff811681036107cb5791602435916044356001600160a01b03811681036107cb57916064356001600160a01b03811681036107cb579160843567ffffffffffffffff81116107cb57816108369160040161079d565b9290929160a4359067ffffffffffffffff82116107cb576108599160040161079d565b9091565b90601f8019910116810190811067ffffffffffffffff82111761087f57604052565b634e487b7160e01b600052604160045260246000fd5b919082519283825260005b8481106108c1575050826000602080949584010152601f8019910116010190565b806020809284010151828286010152016108a0565b908060209392818452848401376000828201840152601f01601f1916010190565b9593919261092e9361ffff61093c999793168852602088015260018060a01b0316604087015260a0606087015260a08601916108d6565b9260808185039101526108d6565b9056fea2646970667358221220d520fa82b49db2479cadf776f7c3131074ae398374fd4d9f2146cb757affb20464736f6c634300081c0033,,Mythril,,,,Mythril,,,,,MAIAN,Yes
sonic_0x3Fdc36b4260Da38fBDba1125cCBD33DD0AC74812,Wormhole,0x608080604052600436101561001357600080fd5b60003560e01c90816336db3131146102ff57508063c513d437146100f35763ede7e0fe1461004057600080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d4578656375746f722d302e302e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761014390369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b9460a43567ffffffffffffffff81116100ee5761018790369060040161033c565b9096603883013560f01c603a84013560f01c603c85013560c01c9161ffff7f000000000000000000000000000000000000000000000000000000000000003416908181036102e85750508681036102cf5750428111156102bb575060188301358060a01c6102a75760008080809381341561029e575b34916001600160a01b031690f1156102925761027961028d9460049261026b7fd870d87e4a7c33d0943b0a3d2822b174e239cc55c169af14cc56467a4489e3b59a6040519a8b9a348c5260208c015260243560408c015260608b015260e060808b015260e08a01908861036a565b9188830360a08a015261036a565b9285840360c0870152013560601c9661036a565b0390a2005b6040513d6000823e3d90fd5b506108fc6101fd565b63033b960d60e41b60005260045260246000fd5b6307e655c360e21b60005260045260246000fd5b869063cfb80e9f60e01b60005260045260245260446000fd5b630a26eab760e31b60005260045260245260446000fd5b346100ee5760003660031901126100ee5760209061ffff7f0000000000000000000000000000000000000000000000000000000000000034168152f35b9181601f840112156100ee5782359167ffffffffffffffff83116100ee57602083818601950101116100ee57565b908060209392818452848401376000828201840152601f01601f191601019056fea26469706673582212206019322fc150509d30c3e49c5142cf50b3ee8e9f081e190176a377124a422f0764736f6c634300081c0033,,Mythril,,,,Mythril,,,,,MAIAN,Yes
unichain_0x574b7864119c9223a9870ea614dc91a8ee09e512,Wormhole,0x608080604052600436101561001357600080fd5b600090813560e01c908163094d3a34146109d9575080635601672414610289578063b281d07a146101fa5763cfa828971461004d57600080fd5b346101e357602060031981813601126101f657600435906001600160401b03908183116101f25760a09083360301126101ee576040519061008d82610a3d565b826004013560ff811681036101ea57825260248301359261ffff9081851685036101e6578584019485526100c360448201610b36565b92604085019384526100d760648301610b36565b976060860198895260848301359182116101e357506100fb91369101600401610ad0565b906080840191808352519081116101cb5750916101b39391606d93519182519051935191519751976040519889957747656e6572616c507572706f7365476f7665726e616e63658a88015260ff60f81b9060f81b16604087015261ffff60f01b809460f01b1660418701526bffffffffffffffffffffffff19809260601b16604387015260601b16605785015260f01b16606b8301526101a381518092878686019101610aee565b810103604d810185520183610a58565b6101c7604051928284938452830190610b11565b0390f35b6024906040519063a341969160e01b82526004820152fd5b80fd5b8680fd5b8580fd5b8380fd5b8480fd5b8280fd5b50346101e35760203660031901126101e357600435906001600160401b0382116101e35760806102356102303660048601610ad0565b610baf565b6101c76040519283926020845260ff815116602085015261ffff602082015116604085015260018060a01b0380604083015116606086015260608201511682850152015160a08084015260c0830190610b11565b50346101e35760203660031901126101e3576004356001600160401b0381116109d557366023820112156109d55780600401356001600160401b0381116101f65736602482840101116101f65761035d916102e8916024369201610a94565b82604051916102f683610a0b565b8183528160208401528160408401528160608401528160808401528160a08401528160c0840152606060e084015281610140610100948286820152606061012082015201526040518094819263607ec5ef60e11b8352602060048401526024830190610b11565b03817f000000000000000000000000ca1d5a146b03f6303baf59e5ad5615ae0b9d146d6001600160a01b03165afa9081156109ca5783928491859361071b575b50501561059d575060608101805160405163fbe3c2cd60e01b815261ffff9392918416906020816004817f000000000000000000000000ca1d5a146b03f6303baf59e5ad5615ae0b9d146d6001600160a01b03165afa801561063c57859187916106df575b5016036106c457506080810180516040516358b9591160e11b8152906020826004817f000000000000000000000000ca1d5a146b03f6303baf59e5ad5615ae0b9d146d6001600160a01b03165afa91821561063c578692610690575b500361067757506101408101518084527f70eabfd7aa6e31808f975131c5b8c69fc72fba8ff2ad97ffb1c2acba4582aaed908160205260ff60408620541661065f57845260205260408320805460ff1916600117905560e001516104c190610baf565b9060ff82511660018103610647575060208281018051604051634d4502c960e11b815291929084169190816004817f000000000000000000000000ca1d5a146b03f6303baf59e5ad5615ae0b9d146d6001600160a01b03165afa801561063c5784918791610600575b5016036105e557505060408101516001600160a01b03163081036105cd575060608101516080909101518051839283926020019083906001600160a01b03165af13d156105c5573d9061057c82610a79565b9161058a6040519384610a58565b82523d83602084013e5b1561059d575080f35b60405162461bcd60e51b8152602060048201529081906105c1906024830190610b11565b0390fd5b606090610594565b60249060405190630212334760e41b82526004820152fd5b51604051638510fea560e01b81529116600482015260249150fd5b9150506020813d602011610634575b8161061c60209383610a58565b810103126101ea5761062e8491610b4a565b3861052a565b3d915061060f565b6040513d88823e3d90fd5b602490604051906317949c6760e11b82526004820152fd5b602490604051906364cbf47160e01b82526004820152fd5b602490516040519063dd16ea0760e01b82526004820152fd5b9091506020813d6020116106bc575b816106ac60209383610a58565b810103126101ea5751903861045e565b3d915061069f565b5160405163259b974160e11b81529083166004820152602490fd5b9150506020813d602011610713575b816106fb60209383610a58565b810103126101ea5761070d8591610b4a565b38610402565b3d91506106ee565b92509250503d918284823e6107308382610a58565b60608184810103126101ee5780516001600160401b0381116101f25761016081830185840103126101f2576040519261076884610a0b565b610773828401610b59565b8452610783602083850101610b67565b6020850152610796604083850101610b67565b60408501526107a9606083850101610b4a565b60608501528282016080818101519086015260a001516001600160401b03811681036101e65760a08501526107e260c083850101610b59565b60c085015260e082840101516001600160401b0381116101e657858401601f82858701010112156101e657828401018051610824918588019190602001610b78565b60e08501526108368183850101610b67565b9084015261012081830101516001600160401b0381116101ea57848301601f82848601010112156101ea57808284010151906001600160401b0382116109b6576040519161088a60208260051b0184610a58565b808352602083019187860160208360071b83888a01010101116109b2576020818688010101925b60208360071b83888a010101018410610929575050505090610140916101208501528201015161014083015260208101519283151584036101f25760408201516001600160401b0381116101ea57820190808301601f830112156101ea57610920920190602081519101610b78565b9091388061039d565b6080848a890103126109ae576040518060808101106001600160401b0360808301111761099a57602080939282608080940160405287518152828801518382015261097660408901610b59565b604082015261098760608901610b59565b60608201528152019401939091506108b1565b634e487b7160e01b8b52604160045260248bfd5b8980fd5b8880fd5b634e487b7160e01b87526041600452602487fd5b6040513d85823e3d90fd5b5080fd5b9050346109d557816003193601126109d557807747656e6572616c507572706f7365476f7665726e616e636560209252f35b61016081019081106001600160401b03821117610a2757604052565b634e487b7160e01b600052604160045260246000fd5b60a081019081106001600160401b03821117610a2757604052565b90601f801991011681019081106001600160401b03821117610a2757604052565b6001600160401b038111610a2757601f01601f191660200190565b929192610aa082610a79565b91610aae6040519384610a58565b829481845281830111610acb578281602093846000960137010152565b600080fd5b9080601f83011215610acb57816020610aeb93359101610a94565b90565b60005b838110610b015750506000910152565b8181015183820152602001610af1565b90602091610b2a81518092818552858086019101610aee565b601f01601f1916010190565b35906001600160a01b0382168203610acb57565b519061ffff82168203610acb57565b519060ff82168203610acb57565b519063ffffffff82168203610acb57565b90929192610b8581610a79565b91610b936040519384610a58565b829482845282820111610acb576020610bad930190610aee565b565b9060405191610bbd83610a3d565b6000835260208301906000825260408401916000835260608501600081526080860193606085528660208501517747656e6572616c507572706f7365476f7665726e616e63658103610c7a5750602185015160ff169052602384015161ffff90811690935260378401516001600160a01b03908116909152604b840151169052604d820151610c4d911682610c92565b92525190808203610c5c575050565b60449250604051916355c5b3e360e11b835260048301526024820152fd5b60249060405190638c1c0dbf60e01b82526004820152fd5b90918215610cec5782604d019160405193601f8116918215610ce3575b604d838701938385019201015b818410610cd35750508452601f01601f1916604052565b8051845260209384019301610cbc565b60209250610caf565b915050604051602081018181106001600160401b03821117610a275760405260008152600036813790604d9056fea26469706673582212205f86bd58f06941a4b4c406feb320d7c1b8446a562c69dbf36e44a5b32dc71ab964736f6c63430008130033,,Mythril,,,,,,,,,MAIAN,Yes
unichain_0x764dD868eAdD27ce57BCB801E4ca4a193d231Aed,Wormhole,0x608080604052600436101561001357600080fd5b60003560e01c90816336db3131146102ff57508063c513d437146100f35763ede7e0fe1461004057600080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d4578656375746f722d302e302e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761014390369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b9460a43567ffffffffffffffff81116100ee5761018790369060040161033c565b9096603883013560f01c603a84013560f01c603c85013560c01c9161ffff7f000000000000000000000000000000000000000000000000000000000000002c16908181036102e85750508681036102cf5750428111156102bb575060188301358060a01c6102a75760008080809381341561029e575b34916001600160a01b031690f1156102925761027961028d9460049261026b7fd870d87e4a7c33d0943b0a3d2822b174e239cc55c169af14cc56467a4489e3b59a6040519a8b9a348c5260208c015260243560408c015260608b015260e060808b015260e08a01908861036a565b9188830360a08a015261036a565b9285840360c0870152013560601c9661036a565b0390a2005b6040513d6000823e3d90fd5b506108fc6101fd565b63033b960d60e41b60005260045260246000fd5b6307e655c360e21b60005260045260246000fd5b869063cfb80e9f60e01b60005260045260245260446000fd5b630a26eab760e31b60005260045260245260446000fd5b346100ee5760003660031901126100ee5760209061ffff7f000000000000000000000000000000000000000000000000000000000000002c168152f35b9181601f840112156100ee5782359167ffffffffffffffff83116100ee57602083818601950101116100ee57565b908060209392818452848401376000828201840152601f01601f191601019056fea26469706673582212206019322fc150509d30c3e49c5142cf50b3ee8e9f081e190176a377124a422f0764736f6c634300081c0033,,Mythril,,,,Mythril,,,,,MAIAN,Yes
world_chain_0x8689b4E6226AdC8fa8FF80aCc3a60AcE31e8804B,Wormhole,0x608080604052600436101561001357600080fd5b60003560e01c90816336db3131146102ff57508063c513d437146100f35763ede7e0fe1461004057600080fd5b346100ee5760003660031901126100ee576040516040810181811067ffffffffffffffff8211176100d857604052600e81526d4578656375746f722d302e302e3160901b602082015260405190602082528181519182602083015260005b8381106100c05750508160006040809484010152601f80199101168101030190f35b6020828201810151604087840101528593500161009e565b634e487b7160e01b600052604160045260246000fd5b600080fd5b60c03660031901126100ee5760043561ffff81168091036100ee576044356001600160a01b038116908190036100ee5760643567ffffffffffffffff81116100ee5761014390369060040161033c565b91909260843567ffffffffffffffff81116100ee5761016690369060040161033c565b9460a43567ffffffffffffffff81116100ee5761018790369060040161033c565b9096603883013560f01c603a84013560f01c603c85013560c01c9161ffff7f000000000000000000000000000000000000000000000000000000000000002d16908181036102e85750508681036102cf5750428111156102bb575060188301358060a01c6102a75760008080809381341561029e575b34916001600160a01b031690f1156102925761027961028d9460049261026b7fd870d87e4a7c33d0943b0a3d2822b174e239cc55c169af14cc56467a4489e3b59a6040519a8b9a348c5260208c015260243560408c015260608b015260e060808b015260e08a01908861036a565b9188830360a08a015261036a565b9285840360c0870152013560601c9661036a565b0390a2005b6040513d6000823e3d90fd5b506108fc6101fd565b63033b960d60e41b60005260045260246000fd5b6307e655c360e21b60005260045260246000fd5b869063cfb80e9f60e01b60005260045260245260446000fd5b630a26eab760e31b60005260045260245260446000fd5b346100ee5760003660031901126100ee5760209061ffff7f000000000000000000000000000000000000000000000000000000000000002d168152f35b9181601f840112156100ee5782359167ffffffffffffffff83116100ee57602083818601950101116100ee57565b908060209392818452848401376000828201840152601f01601f191601019056fea26469706673582212206019322fc150509d30c3e49c5142cf50b3ee8e9f081e190176a377124a422f0764736f6c634300081c0033,,Mythril,,,,Mythril,,,,,MAIAN,Yes
world_chain_0xc309275443519adca74c9136b02A38eF96E3a1f6,Wormhole,,,,,,,,,,,,,No
world_chain_0xcbcEe4e081464A15d8Ad5f58BB493954421eB506,Wormhole,,,,,,,,,,,,,No
